												tunnel_tile_2,0,-1	tunnel_tile_5,90,-1	constrained_tunnel_tile_tall,90,-1	tunnel_tile_2,270,-1					
												tunnel_tile_5,0,-1,Radio@1.5 0 0 0 0 0			tunnel_tile_5,0,-1					
				tunnel_tile_5,90,-1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_5,90,-1	tunnel_tile_5,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_5,90,-1	tunnel_tile_5,90,-1,Backpack@-1 2 0 0 0 0	tunnel_tile_2,180,-1			tunnel_tile_5,0,-1					
								tunnel_tile_5,0,-1					tunnel_tile_2,0,-1	tunnel_tile_5,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_2,270,-1			
								constrained_tunnel_tile_tall,0,-1					tunnel_tile_5,0,-1,Phone@0 0 0.004 -90 0 0;tunnel_tile_blocker@0 -11 0 0 0 0				tunnel_tile_5,0,-1,Toolbox@2 0 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0			
								tunnel_tile_5,0,-1,Extinguisher@-2 0 0 0 0 0												
			tunnel_tile_2,90,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_5,90,-1	tunnel_tile_5,90,-1	tunnel_tile_2,180,-1												
				tunnel_tile_5,0,-1						tunnel_tile_2,0,-1	tunnel_tile_5,90,-1	tunnel_tile_5,90,-1	tunnel_tile_2,270,-1							
				tunnel_tile_5,0,-1						tunnel_tile_5,0,-1			tunnel_tile_2,90,-1,Radio@0 2.3 0 0 0 0	tunnel_tile_2,270,-1						
				tunnel_tile_6,180,-1						tunnel_tile_5,0,-1				tunnel_tile_5,0,-1,Toolbox@-2 0 0 0 0 0						
				tunnel_tile_5,0,0						tunnel_tile_5,0,-1				tunnel_tile_5,0,-1						
				tunnel_tile_5,0,0						tunnel_tile_5,0,-1,Phone@1.8 0 0.004 -90 0 0				tunnel_tile_5,0,-1		tunnel_tile_2,0,-2	tunnel_tile_5,90,-2	tunnel_tile_2,270,-2		
base_station,0,0	tunnel_tile_5,90,2	tunnel_tile_6,90,1	tunnel_tile_6,90,0	tunnel_tile_1,0,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_6,90,-1	tunnel_tile_5,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@11 0 0 0 0 0				tunnel_tile_1,0,-1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_6,90,-2	tunnel_tile_1,0,-2	tunnel_tile_5,90,-2	tunnel_tile_1,0,-2	tunnel_tile_5,90,-2	tunnel_tile_5,90,-2,Electrical Box@0 -1 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0
				tunnel_tile_7,180,0						tunnel_tile_5,0,-1				tunnel_tile_5,0,-1		tunnel_tile_2,90,-2	tunnel_tile_5,90,-2,Backpack@0 -2 0 0 0 0	tunnel_tile_2,180,-2		
				tunnel_tile_5,0,1						tunnel_tile_5,0,-1				tunnel_tile_5,0,-1						
				tunnel_tile_5,0,1						tunnel_tile_2,90,-1	tunnel_tile_5,90,-1	tunnel_tile_5,90,-1,Valve@0 2 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_2,180,-1						
				tunnel_tile_2,90,1	tunnel_tile_7,90,0	tunnel_tile_2,270,0														
						tunnel_tile_2,90,0,Phone@0.8 1.6 0.004 90 0 0	tunnel_tile_2,270,0													
							tunnel_tile_5,0,0,Valve@1.75 1 0 0 0 0													
							tunnel_tile_5,0,0													
							constrained_tunnel_tile_short,0,0													
							tunnel_tile_5,0,0,Electrical Box@-2 0 0 0 0 0							tunnel_tile_5,0,0,tunnel_tile_blocker@0 11 0 0 0 0						
							tunnel_tile_5,0,0	tunnel_tile_2,0,0	tunnel_tile_5,90,0,Backpack@0 2 0 0 0 0	tunnel_tile_5,90,0	tunnel_tile_2,270,0			tunnel_tile_5,0,0						
							tunnel_tile_2,90,0	tunnel_tile_2,180,0			tunnel_tile_5,0,0			tunnel_tile_5,0,0,Extinguisher@-2 0 0 0 0 0						
											tunnel_tile_2,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_2,180,0						
